word,reading,meaning_en,pos,common
火がつく,ひがつく,"to flare up (of an emotion, controversy, etc.)","exp,v5k",False
一目置く,いちもくおく,to take off one's hat to a person,"exp,v5k",False
口を拭う,くちをぬぐう,to feign innocence,"exp,v5u",False
肩が凝る,かたがこる,to feel ill at ease,"exp,v5r",False
心が通う,こころがかよう,to understand each other well,"exp,v5u",False
口が滑る,くちがすべる,to make a slip of the tongue,"exp,v5r",False
いぶし銀,いぶしぎん,something restrained but impressive (e.g. performance),"n,adj-no",False
亡羊の嘆,ぼうようのたん,bemoaning the frustration of reaching truth (for surplus of academic paths),"exp,n",False
お膳立て,おぜんだて,setting up,"n,vs,vt,vi",False
最終兵器,さいしゅうへいき,ultimate weapon,n,False
さじ加減,さじかげん,making adjustments based on experience,n,False
河童の屁,かっぱのへ,something easy to do,"exp,n",False
温室育ち,おんしつそだち,sheltered upbringing,"n,adj-no",False
高嶺の花,たかねのはな,prize beyond one's reach,"exp,n",False
漁夫の利,ぎょふのり,profiting while others fight,"exp,n",False
集中砲火,しゅうちゅうほうか,intense criticism,n,False
奈落の底,ならくのそこ,abyss,"exp,n",False
風前の灯,ふうぜんのともしび,precarious situation,"exp,n",False
牛の歩み,うしのあゆみ,snail's pace,"exp,n",False
台風の目,たいふうのめ,person (or thing) at the center of a turbulent situation (who triggers change or movement),n,False
図に乗る,ずにのる,to get carried away,"exp,v5r",False
足を洗う,あしをあらう,to quit (a shady business),"exp,v5u",False
板につく,いたにつく,to get used to,"exp,v5k",False
一本取る,いっぽんとる,to one-up (someone),"exp,v5r",False
裏をかく,うらをかく,to outwit,"exp,v5k",False
襟を正す,えりをただす,to straighten oneself,"exp,v5s",False
音に聞く,おとにきく,to be widely known,"exp,v5k",False
霞を食う,かすみをくう,to live on air,"exp,v5u",False
釘を刺す,くぎをさす,to give a warning,"exp,v5s",False
掌を指す,たなごころをさす,to be obvious,"exp,v5s",False
手を出す,てをだす,to get involved in,"exp,v5s",False
度を失う,どをうしなう,to lose one's presence of mind,"exp,v5u",False
涙をのむ,なみだをのむ,to swallow one's tears,"exp,v5m",False
骨を折る,ほねをおる,to make efforts,"exp,v5r",False
右に出る,みぎにでる,to be superior (to),"exp,v1",False
飯を食う,めしをくう,to make a living,"exp,v5u",False
弓を引く,ゆみをひく,to oppose,"exp,v5k",False
茶を濁す,ちゃをにごす,to evade (questions),"exp,v5s",False
完全燃焼,かんぜんねんしょう,giving one's all,"n,vs,vi",False
手のもの,てのもの,one's speciality,n,False
海の藻屑,うみのもくず,watery grave,"exp,n",False
寝耳に水,ねみみにみず,bolt from the blue,"exp,n",False
背水の陣,はいすいのじん,fighting with one's back to the wall,"exp,n",False
顔が利く,かおがきく,to have a lot of influence (in),"exp,v5k",False
手を焼く,てをやく,to not know what to do with,"exp,v5k",False
心を砕く,こころをくだく,to take great pains,"exp,v5k",False
気が荒い,きがあらい,bad-tempered,"exp,adj-i",False
気が散る,きがちる,to get distracted,"exp,v5r",False
臍を噛む,ほぞをかむ,to regret bitterly,"exp,v5m",False
闇夜の烏,やみよのからす,something indistinct,"exp,n",False
闇夜に烏,やみよにからす,something indistinct,"exp,n",False
蚊帳の外,かやのそと,being excluded,"exp,n",False
眉を開く,まゆをひらく,to feel relieved,"exp,v5k",False
腕が鳴る,うでがなる,to be itching to put one's skills to use,"exp,v5r",False
手に乗る,てにのる,to fall for a trick,"exp,v5r",False
口をきく,くちをきく,to speak,"exp,v5k",False
波に乗る,なみにのる,to go with the flow,"exp,v5r",False
手が早い,てがはやい,being a fast worker,"exp,adj-i",False
手が空く,てがあく,to be free,"exp,v5k",False
気をもむ,きをもむ,to worry,"exp,v5m",False
足を運ぶ,あしをはこぶ,to go (to),"exp,v5b",False
舵を取る,かじをとる,to manage,"exp,v5r",False
種をまく,たねをまく,to sow the seeds of ... (e.g. conflict),"exp,v5k",False
腕が立つ,うでがたつ,to be talented,"exp,v5t",False
角が立つ,かどがたつ,to cause offence (offense),"exp,v5t",False
声を呑む,こえをのむ,to choke up,"exp,v5m",False
愚の骨頂,ぐのこっちょう,the height of folly,"exp,n",False
手を貸す,てをかす,to lend a hand,"exp,v5s",False
世を渡る,よをわたる,to make one's way in the world,"exp,v5r",False
轍を踏む,てつをふむ,to repeat someone's mistake,"exp,v5m",False
根を張る,ねをはる,"to take root (of an ideology, etc.)","exp,v5r",False
肌が合う,はだがあう,to be compatible,"exp,v5u",False
顔が広い,かおがひろい,well connected,exp,False
煙に巻く,けむにまく,to confuse (someone),"exp,v5k",False
鶴の一声,つるのひとこえ,final word,"exp,n",False
青菜に塩,あおなにしお,feeling sad or downhearted,exp,False
鬼に金棒,おににかなぼう,making something strong even stronger,exp,False
卵に目鼻,たまごにめはな,(cute) egg-like face,"exp,n",False
渡りに船,わたりにふね,godsend,"exp,n,adj-no",False
闇夜の礫,やみよのつぶて,aimless attempt,"exp,n",False
手が込む,てがこむ,to be intricate,"exp,v5m",False
命の洗濯,いのちのせんたく,casting off the drudgery of everyday life and doing as one pleases,"exp,n",False
首が飛ぶ,くびがとぶ,to be sacked,"exp,v5b",False
亀毛兎角,きもうとかく,things that do not exist,exp,False
兎角亀毛,とかくきもう,things that do not exist,exp,False
頭痛の種,ずつうのたね,cause for headaches,"exp,n",False
一枚噛む,いちまいかむ,to participate in (as a member),"exp,v5m",False
手を打つ,てをうつ,to take (preventive) measures,"exp,v5t",False
水母の骨,くらげのほね,something that one would not expect to exist,exp,False
胸を打つ,むねをうつ,to be touching,"exp,v5t",False
絵になる,えになる,to make a lovely picture,"exp,v5r",False
目を盗む,めをぬすむ,to do without being seen (by),"exp,v5m",False
水に流す,みずにながす,to forgive and forget,"exp,v5s",False
気の荒い,きのあらい,bad-tempered,"exp,adj-i",False
手の早い,てのはやい,fast (worker),"exp,adj-i",False
腹を割る,はらをわる,to be frank,"exp,v5r",False
身が入る,みがはいる,to give one's everything,"exp,v5r",False
屁の河童,へのかっぱ,something easy to do,"exp,n",False
船を漕ぐ,ふねをこぐ,to nod off (while sitting),"exp,v5g",False
舌を巻く,したをまく,to be astonished,"exp,v5k",False
足が早い,あしがはやい,to be quick to spoil (of foodstuffs),"exp,adj-i",False
手が届く,てがとどく,to be able to reach,"exp,v5k",False
泥を塗る,どろをぬる,to besmirch,"exp,v5r",False
息が合う,いきがあう,to perform in tune with each other,"exp,v5u",False
火の用心,ひのようじん,be careful about fire,exp,False
後が無い,あとがない,having one's back to the wall,"exp,adj-i",False
猫に鰹節,ねこにかつおぶし,temptation one can't resist,exp,False
卑下自慢,ひげじまん,boasting of one's humility,"n,vs",False
膝が笑う,ひざがわらう,to have one's knees be about to give way,"exp,v5u",False
裏がある,うらがある,to have a catch,"exp,v5r-i",False
埒があく,らちがあく,to come to a settlement,"exp,v5k",False
肩が張る,かたがはる,to feel ill at ease,"exp,v5r",False
山を張る,やまをはる,to speculate,"exp,v5r",False
舌が回る,したがまわる,to be talkative,"exp,v5r",False
舵を切る,かじをきる,"to change direction (of policy, etc.)","exp,v5r",False
覚えてろ,おぼえてろ,you'll regret this!,"exp,int",False
心が躍る,こころがおどる,to be thrilled,"exp,v5r",False
離婁の明,りろうのめい,keen eyesight,n,False
鍵を握る,かぎをにぎる,to hold the key (to),"exp,v5r",False
壁立千仞,へきりつせんじん,"precipitous cliff of great height, metaphor for absolute nature of Buddhist truth",exp,False
目の正月,めのしょうがつ,feast for one's eyes,"exp,n",False
脇が甘い,わきがあまい,having weak defenses,"exp,adj-i",False
最後っ屁,さいごっぺ,final desperate tactic,n,False
耳が痛い,みみがいたい,being painfully true (e.g. reprimand),"exp,adj-i",False
油を注ぐ,あぶらをそそぐ,to turn up,"exp,v5g",False
手が利く,てがきく,to be able,"exp,v5k",False
風の便り,かぜのたより,hearsay,"exp,n",False
手が出る,てがでる,to jab,"exp,v1",False
皮を被る,かわをかぶる,to conceal one's true nature or feelings,"exp,v5r",False
間に立つ,あいだにたつ,to mediate,"exp,v5t",False
糟を食う,かすをくう,to be scolded (mainly used theatrically),"exp,v5u",False
豆腐に鎹,とうふにかすがい,having no effect,"exp,n",False
股を開く,またをひらく,to agree to have sex (for a woman),"exp,v5k",False
犬に論語,いぬにろんご,wasting one's breath (trying to explain something),exp,False
殻を破る,からをやぶる,to break up and start anew,"exp,v5r",False
手が悪い,てがわるい,being dealt a bad hand,"exp,adj-i",False
脛を齧る,すねをかじる,to depend on someone else's (financial) support (usu. one's parents'),"exp,v5r",False
毒を吐く,どくをはく,to spew venom,"exp,v5k",False
足が向く,あしがむく,to head towards,"exp,v5k",False
肴にする,さかなにする,to make fun of someone,"exp,vs-i",False
手がない,てがない,not having enough workers,"exp,adj-i",False
箸が進む,はしがすすむ,to eat a lot,"exp,v5m",False
血が騒ぐ,ちがさわぐ,to get excited,"exp,v5g",False
台所事情,だいどころじじょう,financial situation,n,False
お蔵入り,おくらいり,"being shelved (of a movie, project, etc.)","n,vs,vi",False
傷弓の鳥,しょうきゅうのとり,(person who is) once bitten twice shy,"exp,n",False
蛞蝓に塩,なめくじにしお,crestfallen,exp,False
嘴を挟む,くちばしをはさむ,to stick one's nose into (someone else's business),"exp,v5m",False
頭が低い,あたまがひくい,humble,"exp,adj-i",False
場外乱闘,じょうがいらんとう,verbal fight via the media,n,False
鬼が笑う,おにがわらう,to be laughable,"exp,v5u",False
希望の星,きぼうのほし,ray of light,"exp,n",False
星になる,ほしになる,to pass away,"exp,v5r",False
迦陵頻伽,かりょうびんが,person or creature with a beautiful voice,n,False
年を食う,としをくう,to grow older (than expected),"exp,v5u",False
点を稼ぐ,てんをかせぐ,to score points with (a person),"exp,v5g",False
裸の王様,はだかのおうさま,"person of high standing, with a warped view of reality","exp,n",False
会稽の恥,かいけいのはじ,humiliation of defeat in battle,"exp,n",False
屋烏の愛,おくうのあい,true love,"exp,n",False
桁が違う,けたがちがう,to be on a (completely) different level,"exp,v5u",False
愛のムチ,あいのむち,(lesson in) tough love,"exp,n",False
垣を作る,かきをつくる,to put up an (emotional) wall (between two people),"exp,v5r",False
口を切る,くちをきる,to be the first to speak,"exp,v5r",False
楔を刺す,くさびをさす,to make sure (of),"exp,v5s",False
俎上の魚,そじょうのうお,being in a helpless situation,"exp,n",False
目に立つ,めにたつ,to be conspicuous,"exp,v5t",False
骨になる,ほねになる,to die,"exp,v5r",False
骨に刻む,ほねにきざむ,to engrave in one's heart,"exp,v5m",False
株を守る,くいをまもる,to hold fast to one's ways,"exp,v5r",False
紅葉に鹿,もみじにしか,match made in heaven,"exp,n",False
実が入る,みがはいる,to give one's everything,"exp,v5r",False
声なき声,こえなきこえ,unvoiced opinion,"exp,n",False
永久就職,えいきゅうしゅうしょく,marrying to become a housewife,n,False
心を読む,こころをよむ,to read (someone's) thoughts,"exp,v5m",False
言葉の海,ことばのうみ,large number of words,"exp,n",False
一寸刻み,いっすんきざみ,(at a) snail's pace,n,False
虫が騒ぐ,むしがさわぐ,to be itching to do something,"exp,v5g",False
錦の御旗,にしきのみはた,worthy cause,"exp,n",False
救いの手,すくいのて,helping hand,"exp,n",False
心を病む,こころをやむ,to suffer mentally,"exp,v5m",False
周りの目,まわりのめ,how others look at you,"exp,n",False
花が咲く,はながさく,to become lively (esp. of conversation),"exp,v5k",False
服を着る,ふくをきる,to be the personification of,"exp,v1",False
肌に合う,はだにあう,to be compatible,"exp,v5u",False
心に響く,こころにひびく,to resonate emotionally (with one),"exp,v5k",False
池魚の殃,ちぎょのわざわい,collateral damage,"exp,n",False
穴を穿つ,あなをうがつ,to find someone's weak spot,"exp,v5t",False
手負い猪,ておいじし,cornered animal,n,False
体が空く,からだがあく,to become free,"exp,v5k",False
首を取る,くびをとる,to depose,"exp,v5r",False
崖端歩き,がけばたあるき,taking unnecessary risks,n,False
一日一歩,いちにちいっぽ,one step each day,exp,False
盆と正月,ぼんとしょうがつ,two great things (happening at the same time),"exp,n",False
笈を負う,きゅうをおう,to leave one's hometown to study,"exp,v5u",False
鼻が利く,はながきく,"to have a good nose (for bargains, something amiss, etc.)","exp,v5k",False
俑を作る,ようをつくる,to set a bad example,"exp,v5r",False
城下の盟,じょうかのちかい,capitulation,"exp,n",False
腹を切る,はらをきる,to take responsibility (and resign),"exp,v5r",False
烏の足跡,からすのあしあと,crow's feet (wrinkles),"exp,n",False
闇に鉄砲,やみにてっぽう,doing something without having decided what one's goal for it is,"exp,n",False
心を開く,こころをひらく,to open up to someone else,"exp,v5k",False
日向に氷,ひなたにこおり,something disappearing bit by bit,"exp,n",False
無常の風,むじょうのかぜ,"wind of impermanence (that ends people lives, like the wind scattering a flower's petals)","exp,n",False
世を去る,よをさる,to die,"exp,v5r",False
一条の光,いちじょうのひかり,ray of light,"exp,n",False
職場の花,しょくばのはな,female office worker,"exp,n",False
月夜の蟹,つきよのかに,something with no meat to it,"exp,n",False
傷口に塩,きずぐちにしお,(rubbing) salt in the wound,exp,False
目を開く,めをひらく,"to open one's eyes (to the truth, a new way of thinking, etc.)","exp,v5k",False
角を折る,つのをおる,to give in (after initially resisting),"exp,v5r",False
手を握る,てをにぎる,to join forces (with),"exp,v5r",False
火を吐く,ひをはく,to speak vehemently,"exp,v5k",False
人を食う,ひとをくう,to be insolent,"exp,v5u",False
機械の心,きかいのこころ,devious mind,"exp,n",False
異域の鬼,いいきのき,person who died outside of their homeland,"exp,n",False
時を得る,ときをえる,to get a break,"exp,v1",False
芯を食う,しんをくう,to get to the heart of the matter,"exp,v5u",False
水が合う,みずがあう,to agree with one,"exp,v5u",False
鬼になる,おにになる,to harden one's heart,"exp,v5r",False
下に出る,したにでる,to behave modestly,"exp,v1",False
重箱の隅,じゅうばこのすみ,unimportant things,"exp,n",False
俎上の鯉,そじょうのこい,someone doomed to their fate,"exp,n",False
膿を出す,うみをだす,to force out corruption,"exp,v5s",False
地獄に仏,じごくにほとけ,manna from heaven,exp,False
口が回る,くちがまわる,to speak fluently,"exp,v5r",False
貝になる,かいになる,to keep one's mouth shut,"exp,v5r",False
蓋をする,ふたをする,to conceal an inconvenient truth,"exp,vs-i",False
色をなす,いろをなす,to turn red (with anger),"exp,v5s",False
サバ読む,さばよむ,to manipulate figures to one's advantage,"exp,v5m",False
獅子に鰭,ししにひれ,making something strong even stronger,exp,False
目が泳ぐ,めがおよぐ,to dart around (of one's eyes),"exp,v5g",False
泥中の蓮,でいちゅうのはす,something pure amidst filth,"exp,n",False
胡蝶の夢,こちょうのゆめ,being half awake and half asleep,"exp,n",False
痰を切る,たんをきる,to speak sharply (e.g. during a heated discussion or argument),"exp,v5r",False
膝を折る,ひざをおる,to surrender,"exp,v5r",False
冬の時代,ふゆのじだい,dark age,"exp,n",False
指をさす,ゆびをさす,to talk about someone behind their back,"exp,v5s",False
側面攻撃,そくめんこうげき,indirect approach,n,False
天を仰ぐ,てんをあおぐ,to look up to the sky (in frustration or despair),"exp,v5g",False
雲をつく,くもをつく,to be extremely tall (of stature),"exp,v5k",False
男が立つ,おとこがたつ,to maintain one's honor as a man,"exp,v5t",False
踏みつけ,ふみつけ,"trampling on (someone's feelings, rights, etc.)",n,False
芽を吹く,めをふく,to show signs of development,"exp,v5k",False
網を張る,あみをはる,to keep a sharp lookout (e.g. for a criminal),"exp,v5r",False
算を乱す,さんをみだす,to break and run (e.g. of a defeated army or panicking crowd),"exp,v5s",False
人を選ぶ,ひとをえらぶ,to not be for everyone,"exp,v5b",False
阿吽の呼吸,あうんのこきゅう,"the harmonizing, mentally and physically, of two parties engaged in an activity","exp,n",False
ゲンを担ぐ,げんをかつぐ,to be superstitious,"exp,v5g",False
じゃじゃ馬,じゃじゃうま,unmanageable person (esp. a woman),n,False
一発かます,いっぱつかます,to intimidate (someone),"exp,v5s",False
下火になる,したびになる,to decline,"exp,v5r",False
花より団子,はなよりだんご,function over aesthetics,exp,False
株が上がる,かぶがあがる,to rise in esteem,"exp,v5r",False
冠を曲げる,かんむりをまげる,to become displeased,"exp,v1",False
泣き面に蜂,なきつらにはち,making matters worse,"exp,n",False
九牛の一毛,きゅうぎゅうのいちもう,small fraction (of),"exp,n",False
九死に一生,きゅうしにいっしょう,narrow escape from death,"exp,n",False
固唾を呑む,かたずをのむ,"to hold one's breath (in fear, anxiety, etc.)","exp,v5m",False
胡坐をかく,あぐらをかく,to rest on one's laurels,"exp,v5k",False
五十歩百歩,ごじっぽひゃっぽ,"six of one, half a dozen of the other","exp,n",False
口火を切る,くちびをきる,to start the debate,"exp,v5r",False
三種の神器,さんしゅのじんぎ,(set of) three status symbols,"exp,n",False
小耳に挟む,こみみにはさむ,to happen to hear,"exp,v5m",False
ヤキが回る,やきがまわる,to become senile,"exp,v5r",False
親の七光り,おやのななひかり,benefiting from the fame or influence of a parent,"exp,n",False
世話を焼く,せわをやく,to take care of someone,"exp,v5k",False
青天の霹靂,せいてんのへきれき,a bolt out of the blue,"exp,n",False
体を惜しむ,からだをおしむ,to be lazy,"exp,v5m",False
虫の知らせ,むしのしらせ,feeling in one's bones,"exp,n",False
泥をかぶる,どろをかぶる,to take the blame,"exp,v5r",False
度肝を抜く,どぎもをぬく,to astonish,"exp,v5k",False
頭角を現す,とうかくをあらわす,to distinguish oneself,"exp,v5s",False
非行に走る,ひこうにはしる,to turn to delinquency,"exp,v5r",False
鼻を明かす,はなをあかす,to outwit,"exp,v5s",False
墓穴を掘る,ぼけつをほる,to dig one's own grave,"exp,v5r",False
末席を汚す,まっせきをけがす,"to have the honour of being present (at a meeting, etc.)","exp,v5s",False
目鼻が付く,めはながつく,to complete most of something,"exp,v5k",False
矢面に立つ,やおもてにたつ,to be in the firing line,"exp,v5t",False
薮蛇になる,やぶへびになる,to only make work for oneself,"exp,v5r",False
よりを戻す,よりをもどす,to get back together (with a former partner),"exp,v5s",False
顰蹙を買う,ひんしゅくをかう,to be frowned on,"exp,v5u",False
サバを読む,さばをよむ,to manipulate figures to one's advantage,"exp,v5m",False
度が過ぎる,どがすぎる,to go too far,"exp,v1",False
骨が折れる,ほねがおれる,to be hard (to do),"exp,v1",False
腹を据える,はらをすえる,to make up one's mind,"exp,v1",False
型にはめる,かたにはめる,to stereotype,"exp,v1",False
股にかける,またにかける,to travel all over,"exp,v1",False
虻蜂取らず,あぶはちとらず,"attempting two tasks at the same time, accomplishing neither",exp,False
抜け目ない,ぬけめない,shrewd,adj-i,False
琴瑟相和す,きんしつあいわす,to be happily married,exp,False
不完全燃焼,ふかんぜんねんしょう,being off one's game,"n,vs",False
頂門の一針,ちょうもんのいっしん,painful reproach,"exp,n",False
濡れ手で粟,ぬれてであわ,easy profit,"exp,n",False
立て板に水,たていたにみず,eloquence,"exp,n",False
猫可愛がり,ねこかわいがり,(endlessly) doting (on someone),"n,vs,vt",False
鎌をかける,かまをかける,to trick someone (into confirming or revealing the truth),"exp,v1",False
春秋に富む,しゅんじゅうにとむ,to be young,"exp,v5m",False
手が上がる,てがあがる,to improve one's skill (esp. at calligraphy or drinking larger amounts of alcohol),"exp,v5r",False
ウマが合う,うまがあう,to get on well (with someone),"exp,v5u",False
跡をつける,あとをつける,to tag along,"exp,v1",False
一歩下がる,いっぽさがる,to step back (i.e. to re-think something),"exp,v5r",False
腕を振るう,うでをふるう,to exercise one's talent,"exp,v5u",False
鬼籍に入る,きせきにいる,to pass away,"exp,v5r",False
肝に銘じる,きもにめいじる,to be deeply impressed,"exp,v1",False
くだを巻く,くだをまく,to babble in one's cups,"exp,v5k",False
心にかかる,こころにかかる,to weigh on one's mind,"exp,v5r",False
心を痛める,こころをいためる,to worry (about),"exp,v1",False
言葉を濁す,ことばをにごす,to be vague,"exp,v5s",False
